,datetime,avg_int_seg1,avg_int_seg2,avg_int_seg3,avg_int_seg4,avg_int_seg5,avg_int_seg6,avg_int_seg7,avg_int_seg8,avg_int_seg9,avg_int_seg10,avg_int_seg11,avg_int_seg12,avg_int_seg13,avg_int_seg14,avg_int_seg15,avg_int_seg16
0,2021-09-18 00:00:11.12,1.2354344,1.6362635,1.5171528,1.238402,2.89036,1.8471196,1.7905582,2.557709,3.1367307,1.764011,1.657346,2.6250505,1.897461,1.860995,1.6420037,1.631956
1,2021-09-18 00:01:11.12,1.222288,1.622843,1.5299981,1.2492589,2.8806,1.8401264,1.811736,2.5776925,3.1285818,1.7583088,1.6748633,2.6448982,1.9019432,1.8655246,1.6474372,1.6369599
2,2021-09-18 00:02:11.12,1.2453114,1.6476654,1.5330957,1.2496587,2.90195,1.8584464,1.8128195,2.583537,3.113945,1.7476199,1.6628003,2.6294556,1.8890879,1.8528064,1.6387879,1.6332133
3,2021-09-18 00:03:11.12,1.2469349,1.6486316,1.5175828,1.2393507,2.8984444,1.8619001,1.7974606,2.5679693,3.1337233,1.7629161,1.6631073,2.639077,1.9078565,1.8719695,1.6369148,1.625035
4,2021-09-18 00:04:11.12,1.2403213,1.6434773,1.531793,1.2507197,2.8913069,1.856512,1.8045768,2.5691237,3.1412416,1.7721664,1.6713084,2.6388547,1.905009,1.869384,1.6377434,1.6291856
5,2021-09-18 00:05:11.12,1.2413381,1.6454533,1.5448418,1.2574775,2.8891885,1.8539429,1.8185692,2.5882673,3.1361268,1.764221,1.6667125,2.6349664,1.905184,1.8673369,1.6356726,1.6247027
6,2021-09-18 00:06:11.12,1.2260551,1.6282609,1.5375221,1.2551324,2.881111,1.852104,1.8080798,2.575354,3.1281226,1.7596413,1.6692137,2.6355298,1.8984137,1.8616593,1.6410146,1.6352712
7,2021-09-18 00:07:11.14,1.2298044,1.6304024,1.5281068,1.2488335,2.8776472,1.8418419,1.8092556,2.5760021,3.1198337,1.75271,1.6829768,2.650194,1.8927844,1.8524448,1.6502227,1.6373069
8,2021-09-18 00:08:11.12,1.2204105,1.6143696,1.5362854,1.2541165,2.8716452,1.839812,1.8096502,2.5777595,3.13306,1.7640382,1.6689172,2.640271,1.8958797,1.8550003,1.6446513,1.6324085
9,2021-09-18 00:09:11.12,1.2167008,1.6119945,1.503445,1.228333,2.872466,1.8328006,1.7928848,2.5647478,3.127625,1.7656146,1.6859668,2.6542137,1.9068661,1.8654653,1.6606652,1.6475456
